,name,rating,address,delivery_provider,main_cuisine
3815,Halima's Kitchen,3.6,"Milk Vita Sales Centre, House D-14D, Arambagh, Mirpur, 1216 Dhaka",platform_delivery,Fast Food
1397,Bluebird Restaurant and Party Centre,3.6,"House-99, Mili Super Tower 2, Beside Dutch-Bangla ATM Booth, Ashkona, Dakkhinkhan, 1230 Dhaka",platform_delivery,Chinese
4000,More Than Coffee,3.6,"41/1, Sara Belayet Tower, Shere Bangla Road, Katashur, Mohammadpur, Dhaka - 1207, 1207 Dhaka",platform_delivery,Fast Food
944,Hawlader Biriyani House,3.6,"Road 1, plot no:11, Backside of Shah Ali Plaza Market, Mirpur 10, Dhaka, 1216 Dhaka",platform_delivery,Indian
877,Bhaat Ghor - Bashundhara,3.6,"House No. 3/5, Topkhana Road, Segun Bagicha, Dhaka, 1000 Dhaka",platform_delivery,Bangladeshi
1993,DAMN! Burger,3.6,"House#9, Road#5, Block#A, Section#10, Pallabi, Mirpur,Dhaka 1216, 1216 Dhaka",platform_delivery,Fast Food
740,Bismillah Hotel Restaurant & Kabab Ghar,3.6,"7/1 main road Mohammadia housing scociety Mohammadpur, 1207 Dhaka",platform_delivery,Bangladeshi
2792,Pizza Town Cafe & Restaurant,3.6,"368/B Nazma Tower Taltola Khilgaon Dhaka-1219, 1219 Dhaka",dine_in,Fast Food
1081,Pallabi Kitchen House,3.6,"Road -9,House-01,Black -c, Pallabi, mirpur -12 ( old pallbi thana), 1216 Dhaka",platform_delivery,Bangladeshi
2876,Sadeeq Agro â€“ Shahi Khana,3.5,"Plot - 218/B, Bir Uttam Mir Shawkat Sarak, Hatirjeel - Gulshan Tejgaon Link Road, Gulshan, Dhaka - 1208, 1208 Dhaka",platform_delivery,Rice Dishes
3156,Sub Lover's - Mohakhali,3.5,"Level #03 ,Shop # 17,(SKS)Tower, Mohakhali-Railgate, Dhaka-1212, 1212 Dhaka",platform_delivery,Fast Food
3639,New Grand Sultan Restaurant & Chinese,3.5,"20-24, A.G.B. Colony Kacha Bazar, Motijheel, 1000 Dhaka",platform_delivery,Chinese
653,Ayaat's Kitchen,3.5,"House 8, Road 11, gudaraghat, Middle Badda Badda Dhaka, 1212 Dhaka",platform_delivery,Bangladeshi
2399,Suma's Kitchen,3.5,"178 tetultola road, house 13, road 1, north badda, dhaka 1212. Shori Member Home, Tetultola Road, 1212 Dhaka",platform_delivery,Bangladeshi
3988,Fuska Gang,3.5,"road no.10,lake side,front of panshi community center,kalabagan,Dhanmondi dhaka 1205, 1209 Dhaka",platform_delivery,Chotpoti & Fuchka
2391,Cilantro - Gulshan,3.5,"Gulshan Centre Point,Unimart-Level-2 House# 23-26, Road#90-91 Gulshan-2, 1212 Dhaka",platform_delivery,Mexican
1709,Frangos,3.5,"HB Tower, 1st Floor, House-1/A, Road-23, Gulshan-1, Dhaka - 1212, 1212 Dhaka",platform_delivery,Snacks
2306,LAZIZ,3.5,"DHALI FOOD COURT, TENEMENT ROAD, BASHUNDHARA R/A, 1229 Dhaka",dine_in,Kebab
3848,Diamond Hotel,3.4,"285 West Dhanmondi, Road 8/A, 1205 Dhaka",platform_delivery,Bangladeshi
1517,Juice Hub,3.4,"House-488 Abdus Sobhan Road Ground Zero Complex Basundhara Dhaka-1212, 1212 Dhaka",platform_delivery,Juice Corner
717,Mr. Gosto,3.4,"ECB Chattar Bus Stand, Dhaka, 1216 Dhaka",platform_delivery,Fast Food
3607,Multi Food Court (MFC),3.4,"House no-8,Motaleb Plaza ground floor,Poribag,Hatirpool, Dhaka - 1000, 1000 Dhaka",platform_delivery,Fast Food
3873,Salt n Pepper - Bashundhara,3.4,"Plot No. 100, Road No. 2, Block A, Bashundhara, Dhaka, 1229 Dhaka",dine_in,Fast Food
2797,Holy Fries ,3.4,"223/1, -A, Malibagh, 1217 Dhaka",platform_delivery,Fast Food
2365,Chinese Recipe - Bashtola Delivery (pandago),3.4,"House: 360, 2nd floor, Near Raihan Jame Mosque, Mohila members bari, Baridhara J Block, Dhaka-1212, 1212 Dhaka",vendor_delivery,Chinese
2419,Shadhin Restaurant,3.4,"2/GA/1, Nabab Habibullah Road, Dhaka (Near PG Hospital), 1211 Dhaka",platform_delivery,Bangladeshi
1213,Bhojon Bilash,3.4,"Shop#64, 2nd floor, DNCC Kacha Bazar, Close to Gulshan Masjid, Gulshan 2, 1212 Dhaka",platform_delivery,Bangladeshi
1515,Cafe Darling,3.4,"152/2A, Rowshan Tower,Panthapath, Dhaka-1205, 1205 Dhaka",platform_delivery,Snacks
2212,Tiffin Box ,3.3,"Banani Road – 13/A , Block – C House – 88, 1213 Dhaka",platform_delivery,Bangladeshi
3927,Shaad Fuchka,3.3,"Opposite of Car Selection, Road No: 111, Gulshan- 2, 1212 Dhaka",platform_delivery,Indian
1880,Smokeat,3.3,"Urban Void Food Court, Ka-9/A, Hazi Abdul Latif Mansion, Bashundhara Main Gate, 1229 Dhaka",platform_delivery,Fast Food
3525,NOSH,3.2,"14, East Shewrapara, Near Monipur School,( Hatil er Goli), Mirpur, 1216 Dhaka",platform_delivery,Fast Food
3472,Tasteya,3.2,"25/24, block-C, in front of TUNG TANG restaurant , Tajmahal Road, Mohammadpur 1207, 1207 Dhaka",platform_delivery,Fast Food
2069,Teheriwala -Banani,3.2,"29 Kemal Ataturk Avenue, Road - 17, BTA Tower, Banani, 1213 Dhaka",platform_delivery,Bangladeshi
2572,American Fried Chicken (AFC),3.2,"House #27, Road #08, Block #B, Section #13, (Opposite Side of 13 No Masjid Market), Mirpur, 1216 Dhaka",platform_delivery,Fast Food
2344,Italian Pizza Bar,3.2,"House# 8, Road# 5 Prodhan shorok, Block -A, Nobodoy Housing Society Mohammadpur, Dhaka (Nobodoy Housing Society Jame Masjid), 1207 Dhaka",platform_delivery,Pizza
203,Green Garden Food & Kebab Mini Chinese,3.2,"10/B,Avenue#1/25,Benaroshi polli,Mirpur,Dhaka, 1216 Dhaka",dine_in,Chinese
728,The Chocolate Room- Gulshan 2,3.1,"1st Floor, Plot-2A, Block NW (H), Nasrin Casabella, Gulshan North Avenue, Gulshan-2, 1212 Dhaka",dine_in,Dessert
1848,Pizza Paradise,3.1,"House # 08, Road # 25 Block # A, Section 10 Dhaka 1216., 1216 Dhaka",platform_delivery,Fast Food
133,Bhojon Roshik,3.1,"House 67/A , Dhaka Kustia Highway Road . Bus Malik Somiti Office , Boropull , Rajbari -7700, 7700 Rajbari",platform_delivery,Bangladeshi
3910,Jolly's Kitchen,3.1,"Jatiyo Mohila Sangstha,145, New Baily Rd, Dhaka 1000, 1000 Dhaka",platform_delivery,Bangladeshi
1548,Faizane Madina Biryani House - Boba Biryani,3.0,"Geneva camp 1st Gate, Mohammadpur, Dhaka 1207, 1207 Dhaka",platform_delivery,Biryani
1417,B.J Cafe & Restaurant,3.0,"B.J. Cafe & Restaurant...Party Center, Matikata Road, Cantonment, Dhaka, Dhaka, 1206 Dhaka",platform_delivery,Chinese
4119,Bakery Bits,3.0,"House : 18 , Road number:1 Chaad Uddan road, Mohammadpur, 1207 Dhaka",platform_delivery,Snacks
2416,Samia'r Heshel,3.0,"Banani DOHS - Western Road , House 31 , Flat - 6b , Opposite of Banani DOHS Community Center., 1213 Dhaka",platform_delivery,Bangladeshi
2544,Bluelime,3.0,"R955+F4,11 Rupnagar Rd, Dhaka 1216, 1216 Dhaka",platform_delivery,Beverage
2366,Pizza Lover,3.0,"House No. 67/1, Opposite of Square Building, Gojob Nabi Road, Bil Par, Wireless, 1213 Dhaka",platform_delivery,Fast Food
4126,Bushra Biryani House,2.9,"House: 97, Road : 4, Block :F , journalist residential area, Mirpur 11,dhaka 1216 (near Masjidul Faruq), 1216 Dhaka",platform_delivery,Bangladeshi
2739,Al Madina Biryani House - Mirpur,2.9,"House - 12,Road - 1,Sheyalbari mor,Rupnagar residential,Mirpur 2 Dhaka 1216, 1216 Dhaka",platform_delivery,Bangladeshi
3933,SNACKS TOWN,2.9,"Shahid Abdul Aziz road, 2nd gali, ma villa, 1229 Dhaka",platform_delivery,Indian
1760,Meher Cafe Roof Top,2.8,"House-08, Road, 09 ????#??, Dhaka 1219, 1219 Dhaka",dine_in,Snacks
1459,Trofi,2.8,"260 Malibagh, Concrite Sareng Tower, Oppesite of Kuheli Building, 1217 Dhaka",platform_delivery,Snacks
2157,7 Star Cake House,2.8,"377/A Chapra Mosjid ( Dondew school road ) Pirerbagh, 60 feet Dhaka, Mirpur 2, 1216 Dhaka",platform_delivery,Dessert
4052,Bhorta Ghor - Mirpur,2.7,"Block - E , line-3 , house- 63 near Zarif International school kalshi mirpur Dhaka 1216, 1216 Dhaka",platform_delivery,Bangladeshi
2329,Cafe Al-Bike,2.6,"(Close to Kalapata Restaurant) 135/5, Somaj Kallan Mor, 60 feet, 1216 Dhaka",platform_delivery,Fast Food
2868,Jasco,2.5,"Shop-11 Level-6 Fortune Shopping mall Malibagh Dhaka 1217, 1217 Dhaka",platform_delivery,Fast Food
2324,Waffle Bee,2.4,"House 2, Road 14, Block D, Mirpur 6., 1216 Dhaka",platform_delivery,Dessert
906,Patty Boyz,2.3,"25/24, Block-C, Tajmahal road, Near Tung Tang Restaurant, Mohammadpur, Dhaka 1207, 1207 Dhaka",platform_delivery,Fast Food
3716,Dhaka Dessert Shop,2.3,"81/5, Indira road , Tejgaon, Dhaka, 1215 Dhaka",platform_delivery,Cakes & Bakery
1396,Crown Cafe,2.3,"10th floor, safura food village, Safura trade city, 1 Sujat Nagar (Aarong building), Pallabi, Mirpur-12,Dhaka-1216., 1216 Dhaka",platform_delivery,Fast Food
2498,Al-Modina Bangla Khabar Hotel & Restaurant,2.3,"256,DIT road, West Rampura, Dhaka 1219, 1219 Dhaka",platform_delivery,Bangladeshi
3814,Bhorta Bhat kitchen,2.2,"B. Baria Bakery, Basabo Bazar Road, Basabo Madartek Road, Beside Family Cemetry, 1214 Dhaka",platform_delivery,Bangladeshi
737,Jaber Plus Hot Cake,2.1,"Block # D, Section # 11, Line # 27, House # 28, Mirpur,(opposite Faysal.s Hot Cake), 1216 Dhaka",platform_delivery,Dessert
511,Pizzasthan,1.0,"Dhanmondi 32(sector 3), road 12/a, Dhanmondi lake,Dhaka, 1209 Dhaka",platform_delivery,Italian
915,Bhai Indian Dosa ,1.0,"74/B/1, R H Home Centre, Farmgate Green Road, Dhaka-1215, 1215 Dhaka",platform_delivery,Indian
