,cluster_id,Restaurant Name,main_cuisine,Negative Sentiment,Positive Sentiment,Address
201,4,Holy Fries ,Fast Food,7.0,13.0,"223/1, -A, Malibagh, 1217 Dhaka"
202,3,Abida's Food Court,Bangladeshi,2.0,18.0,"Dhaka, Bangladesh"
203,4,Boom Burger Gulshan,Fast Food,10.0,10.0,"Dhaka, Bangladesh"
204,3,Appayon,Bangladeshi,19.0,1.0,"Dhaka, Bangladesh"
205,3,Tushty Kitchen,Bangladeshi,20.0,0.0,"Flat 4D, Surma Vaban, Road No - 05, Red Crescent Multiplan City, Zoo Road, Mirpur-1, 1216 Dhaka"
206,4,"The Dark, Music Cafe & Restaurant",Fast Food,12.0,8.0,"Dhaka, Bangladesh"
207,2,Pizza Nextddoor & Kaffeehaus,Pizza,12.0,8.0,"Dhaka, Bangladesh"
208,4,Chicken Bhai - Gulshan,Fast Food,13.0,7.0,"Dhaka, Bangladesh"
209,4,Thoreo's,Fast Food,13.0,7.0,"55/2, Matikata, Dhaka Cantonment , Dhaka, 1206 Dhaka"
210,5,Miss Momo,Dumpling,15.0,5.0,"Dhaka, Bangladesh"
211,4,Jasco,Fast Food,20.0,0.0,"Shop-11 Level-6 Fortune Shopping mall Malibagh Dhaka 1217, 1217 Dhaka"
212,5,King's Dine,Chinese,11.0,9.0,"House-16 ,Block-A ,Avenue-1 Sec-2 Mirpur, Dhaka, 1216 Dhaka"
213,5,Sadeeq Agro Ã¢â‚¬â€œ Shahi Khana,Rice Dishes,,,
214,3,Kacha Lanka Restaurant & Biryani House - Mirpur,Bangladeshi,10.0,10.0,"Mirpur DOHS, Gate Number 1, Near by Zaman Park., 1216 Dhaka"
215,4,Chacha Chicken Chotpoti,Fast Food,13.0,7.0,"Dhaka, Bangladesh"
216,4,Burfe,Fast Food,1.0,19.0,"Dhaka, Bangladesh"
217,7,Noyabari 16/2,Indian,18.0,2.0,"Dhaka, Bangladesh"
218,3,Bristy's Kitchen,Bangladeshi,10.0,10.0,"Dhaka, Bangladesh"
219,5,Ranna Banna,Snacks,1.0,19.0,"Dhaka, Bangladesh"
220,9,The Mughal Empire - Banasree,Biryani,7.0,13.0,"House-13, Block-B, Banasree Main Road, 1219 Dhaka"
221,3,Zaiqa,Bangladeshi,8.0,12.0,"Dhaka, Bangladesh"
222,3,Salma's Cooking,Bangladeshi,3.0,17.0,"Dhaka, Bangladesh"
223,5,Vojon Chuijhal & Kacchi,Rice Dishes,7.0,13.0,"Dhaka, Bangladesh"
224,4,Kustary Sultan - Mohammapur,Fast Food,9.0,11.0,"H.I. Khan Trade Centre, House: 23, 24, Block # D, Tajmahal Road, Mohammadpur, Dhaka 1207, 1207 Dhaka"
225,3,MonishaÃ¢â‚¬â„¢s Kitchen,Bangladeshi,,,
226,4,Sub Lover's - Mohakhali,Fast Food,5.0,15.0,"Level #03 ,Shop # 17,(SKS)Tower, Mohakhali-Railgate, Dhaka-1212, 1212 Dhaka"
227,4,Farzana's Kitchen,Fast Food,18.0,2.0,"Dhaka, Bangladesh"
228,5,American Burger Gulshan 2,Burgers,8.0,12.0,"Shop# 21, Road # 46, 1212 Dhaka"
229,5,Ice Berg,Juice Corner,8.0,12.0,"Dhaka, Bangladesh"
230,4,Big Bite - Sonargaon Road,Fast Food,16.0,4.0,"Hakim Centre, 22/B/2 Ground Floor Sonargaon Road, Dhaka 1205, 1205 Dhaka"
231,3,Hungry House,Bangladeshi,17.0,3.0,"Dhaka, Bangladesh"
232,4,Spice & Hot Kitchen,Fast Food,13.0,7.0,"Dhaka, Bangladesh"
233,5,Chows - Delivery- Banani (pandago),Chinese,7.0,13.0,"Hs 6, Rd 19A, Banani Block E, 1213 Dhaka"
234,4,Charleys,Fast Food,7.0,13.0,"Plot #27, Road #17, Banani C/A, Dhaka 1213, Sarina Hotel Bangladesh, 1213 Dhaka"
235,4,Tasteya,Fast Food,16.0,4.0,"25/24, block-C, in front of TUNG TANG restaurant , Tajmahal Road, Mohammadpur 1207, 1207 Dhaka"
236,4,Canteen - Picnic,Fast Food,11.0,9.0,"Dhaka, Bangladesh"
237,5,Chaap Wala,Kebab,10.0,10.0,"Dhaka, Bangladesh"
238,4,Relax Cafe & Food - Mirpur,Fast Food,16.0,4.0,"Dhaka, Bangladesh"
239,3,Food Bunker,Bangladeshi,5.0,15.0,"Dhaka, Bangladesh"
240,4,Big Boss Burger,Fast Food,11.0,9.0,"Dhaka, Bangladesh"
