Restaurant Name,Negative Sentiment,Positive Sentiment
Anu Bhaier Ghoroa Kebab Ghor,1,0
Anu's Kitchen,1,0
Anwar Hotel & Restaurant,1,0
Anwar's Kitchen,1,0
Anwesha's Kitchen,1,0
Any's Kitchen,1,0
Anytime Cakes,1,0
Anytime Snacks & Cookies,1,0
Anzira's Kitchen,1,0
Anzum's Kitchen,1,0
Aojan Kitchen,1,0
Aoual Biriyani House - Bashabo,1,0
Aoual biriyani & Behari Kabab,1,0
Aparna's Kitchen,1,0
Apon Bari Restora & Mezbani - Chittagong,1,0
Apon Fuchka House,1,0
Apon Ghar,1,0
Apon Kitchen,1,0
Apon Shipon Biryani House,1,0
Apon's Kitchen,1,0
Aporna Doi Bhandar,1,0
Appayan Hotel Iftar Bazar,1,0
Appayan Hotel and Restaurant - Comilla,1,0
Appayon,1,0
Appayon Hotel,1,0
Appayon Hotel & Biryani House,1,0
Appayon Hotel & Restaurant,2,0
Appayon Restaurant,1,0
Appetina,1,0
Appetizer Cafe & Restaurant,1,0
Apple Kitchen,1,0
Aprupa's Rannaghor,1,0
Apunir Roshui Kitchen,1,0
Ar Razzak Home Made Food & Beverage,1,0
Ara's Cooking,1,0
Arab Hotel &  Chap Ghor,1,0
Arabella Kabab House-Barisal,1,0
Arabian Bite,1,0
Arabian Cooking House,1,0
Arabian Darbar Restaurant,1,0
Arabian Kacchi - Farmgate,1,0
Arabian Khabsa Biryani,1,0
Arabian Kitchen,1,0
Arabian Kuboos,1,0
Arabian Nights - Mohammadpur,1,0
Arabian Shawarma House,1,0
Arabian Sweets & Pastry Shop,1,0
Arabika Coffee - Gulshan,1,0
Araf Ayatâ€™s Ranna Ghor,1,0
Araf Pitha Ghor,1,0
Arafat Fuchka House- 2,1,0
Arafat Fuska Ghor,1,0
Arafat Hotel and Restaurant,1,0
Arafat Kitchen,1,0
Arafia Cooking Studio,1,0
Arani Rannaghor,1,0
Arar Chatga - Bodda Biryani Cholibune?,1,0
Arax,1,0
Are Tasty Kitchen,1,0
Area 51,1,0
Ares Foods - Oxygen,1,0
Ares- Chawkbazar,1,0
Arfan Fuchka Chotpoti House,1,0
Arhaa's Kitchen,1,0
Arhaanâ€™s Kitchen -  Paikpara,1,0
Arham Home Kitchen,1,0
Aricha Hotel & Biryani House,1,0
Arif Fast Food Corner,1,0
Arif's Bengali Cuisine,1,0
Arif's Diet,1,0
Arifa's Cooking,1,0
Arifa's Dream Home Kitchen,1,0
Arifa's Home Food,1,0
Arifin's Kitchen,1,0
Arina's Kitchen,1,0
Arisha Confectionary,1,0
Ariyaan Home Kitchen,1,0
Ariyan Food & Restaurant,1,0
Ariyan Kitchen,1,0
Arizona Thai & Chinese Restaurant,1,0
Arju Biryani and Restaurant,37,11
Arju Hotel & Biryani House,1,0
Arju Restaurant,1,0
Arju Tehari House,1,0
Arjumand's Kitchen,1,0
Arman Biryani House,1,0
Arman Chop Puri House,1,0
Arobian Fast Food - Girls School,1,0
Aromaa Crispy Chicken,1,0
Aronnok- Pitha Uthsob,1,0
Aroy Bee,1,0
Aroy-D (Thai Cuisine) - Khulshi,1,0
Arpita Kitchen,1,0
Arrow Spoon,1,0
Arroz Restaurant - Police Plaza,1,0
Arsalan Restaurant,1,0
Arselon Spices,1,0
Arshi Kitchen,1,0
Arshia Kitchen,1,0
Art Cafe,1,0
Art home kitchen,1,0
Art of Food,1,0
Artisan Coffee Co.,1,0
Artista Cafe,1,0
Artistic Food,1,0
Arts Of Cakes,1,0
Aruma Kitchen,1,0
Aruni Kitchen,1,0
Arunika - Dhanmondi - pandago,1,0
Arushi's Kitchen,1,0
Arwa's Kitchen,1,0
Asa Homemade Food,1,0
Ascott Palace Hotel - Royal Treat Restaurant,1,0
Asha Fast Food,1,0
Asha Hotel & Restaurant,2,0
Asha Restaurant,1,0
Asha's Cuisine,1,0
Asha's Kitchen,1,0
Ashik Hotel & Restaurant,1,0
Ashika's Kitchen,1,0
Ashraf Chotpoti & Bhuri Bhaja,1,0
Ashrafi Ka Dhaba,1,0
Ashrafi Kitchen,1,0
Ashuu's Kitchen,1,0
Asia Hotel and Restaurant - Sylhet,1,0
Asia Thirty Four,1,0
Asian Bar-Be-Cue Restaurant,1,0
Asian Chotpoti & Fuchka House,1,0
Asian Express,1,0
Asian Express - Banani,1,0
Asian Fast Food,1,0
Asian Food Village - Jamalpur,1,0
Asian Foods,1,0
Asian Hotel and Restaurant,1,0
Asian Kabab & Biryani House - GEC,1,0
Asian Kebab Chinese And Fast Food,1,0
Asian Spices,1,0
Asiatiko,1,0
Asif Kitchen,1,0
Aslee Bakes,1,0
Asma Afroza's Kitchen,1,0
Asma Biryani House,1,0
Asma Homemade,1,0
Asma's Kitchen,1,0
Astha Biryani,1,0
Ata Ruti.com,1,0
Athri Sweets,1,0
Atithy Hotel,1,0
Atithy Restaurant,1,0
Atopor Fast Food,1,0
Ator Ali Sweets,1,0
Attin Cafe & Lounge,1,0
Auntir Ranna,1,0
Aunty's Kitchen,2,0
Aurop Restaurant,1,0
Aurora Cafe & Restaurant,1,0
Aurtan Catering,1,0
Aus Cafe,1,0
Austin's Cafe,1,0
Authentic Bhorta Kitchen,1,0
Authentic Bikrampur,1,0
Authentic Bogura,1,0
Authentic Chuijhal Restaurant,1,0
Authentic Kabab Express,1,0
Authentic Recipe,1,0
Autograph Live Music Cafe,1,0
Ava's Kitchen,1,0
Avalone,1,0
Avanti Aroma - Mymensingh,1,0
Avanti Restaurant,1,0
Avenue 24/7,1,0
Avenue Cloud Kitchen,1,0
Awesome Dimsum,1,0
Awesome Fuchka Bazar,19,6
Awesome Kitchen,1,0
Ayaan's,1,0
Ayaat Ayaan Ranna Ghor,1,0
